1COV.DE_Volume,ADS.DE_Volume,AIR.DE_Volume,ALV.DE_Volume,BAS.DE_Volume,BMW.DE_Volume,CBK.DE_Volume,DTE.DE_Volume,EOAN.DE_Volume,HEI.DE_Volume
453,297,326,525,2029,1046,13425,10187,1500,187
1685,218,0,1244,1998,4352,1116,13010,3632,170
280,138,88286,1180,3751,1055,10175,19762,2301,130
1181,647,325,654,1805,811,18857,1870,1338,99
350,301,132,371,392,8394,2488,39826,13052,187
1,1113,2708,1041,1294,0,1024,3429,26445,941
118,2367,749,2492,23432,4215,1331,31074,6455,842
69,1171,608,4040,4689,12689,17523,22638,1595,851
869,64,9,3712,0,3474,1597,40857,2308,352
875,770,281,861,36584,1490,8649,5967,23187,422
870,424,92,230,4541,2363,4246,23305,340,650
919,147,90,524,758,3354,3788,11836,40281,223
63,771,98,1269,760,3789,7914,5983,5876,595
1950,214,1,393,3841,1448,5799,6107,2385,591
251,347,693,344,2648,1830,680,8446,5893,95
29,908,863,3141,2187,1606,5517,8187,17489,15
109,359,497,532,2110,2424,2013,3769,597,24
466,804,300,1209,8564,1700,7404,2054,2057,162
299,51,136,723,204,3927,7124,2540,1663,118
28,250,75,1519,1147,1031,25697,5594,40,745
273,600,300,1362,2154,1633,10154,5162,20043,164
30,68,19,2646,766,3119,2,516,13745,168
302,153,200,669,294,996,938,214,9804,97
53,564,84,692,727,725,4557,45,12793,160
51,49,131,1692,599,12097,4348,3161,668,259
946,203,96,1946,1743,1328,20577,23359,9263,113
321,144,116,3007,2400,1506,124,4303,11870,175
362,388,116,1132,1642,1683,8415,2939,2790,100
9,270,263,1460,1845,1883,3218,15243,22608,502
118,702,140,1388,715,1725,2998,10028,3376,221
199,226,252,880,996,630,2317,20385,1369,358
254,385,200,857,895,644,16652,10437,767,286
82,623,81,210,678,1735,11210,3099,15454,136
134,239,575,2139,2352,1956,7507,15,5591,36
214,230,90,1358,5528,453,13357,8268,3924,132
323,1108,1333,91,857,2586,48984,2621,11086,22
126,283,200,653,9183,1161,4711,2089,12897,1046
13,147,105,810,407,2410,8764,2267,6937,59
3399,169,24,1096,8200,2680,2632,31301,40023,273
210,310,172,293,641,2483,35512,3924,7012,658
163,595,230,1129,2709,3938,13464,1417,21908,50
29,994,251,1211,506,567,11563,6038,3914,61
66,187,154,882,1028,5979,970,20000,1794,215
76,179,991,322,1202,543,1517,8381,12357,157
1038,216,320,681,1925,1320,458,771,5164,135
26,398,235,1246,437,1700,19538,946,5176,338
65,216,180,485,399,629,66,19722,4500,78
279,270,129,510,2828,283,12231,886,40,112
960,258,209,2505,1035,1533,14704,5157,570,189
1,127,205,55,3190,322,1190,200,11818,0
104,67,114,2067,1715,1933,1592,2482,2280,31465
212,91,380,252,800,4786,1321,835,997,1281
52,769,45,86,196,5315,11197,7201,4933,224
564,294,22,441,22,619,4462,1699,2313,144
501,2285,20,1186,1077,1704,5955,3155,1314,200
102,53,70,269,11944,246,0,3844,6551,138
53,106,90,919,5166,1177,719686,8013,9544,68
64,213,15,66,4652,157,1831,2170,2490,368
388,251,100,51,1643,11737,2026,683,6263,100
3541,53,375,400,1947,5535,10732,3467,6286,149
139,171,64,340,1339,1072,2185,1959,100,140
642,1,846,994,1380,1156,27319,5299,100,383
